flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,loyalty_program_level,fleet_type_description,fleet_usage,response_group
999,BRX,EWX,2022-09-18,Early & Ontime,Delayed,Atlantic,"comparing the food and wine selection in polaris against other star alliance carriers, this was disappointing.",90+,non-member,B777-300,Mainline,non-member
2671,DFX,IAX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,finally a decent meal in first class after two years of bad stuff.,80+,premier 1k,B737-800,Mainline,member
671,DEX,COX,2022-09-17,Delayed,Early & Ontime,Domestic,why do airlines charge for everything?.,70+,non-member,B737-900,Mainline,non-member
41,EWX,FCX,2022-09-18,Early & Ontime,Delayed,Atlantic,dinner was okay but should have been italian. breakfast was less than satisfing. scrambled eggs would have been better or even a bagel and cream cheese instead of yogurt.,90+,non-elite,B777-300,Mainline,member
6110,RDX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,"although flying has been pleasant, it is always nice to receive a beverage on my flight. there was not an offer of a beverage on this flight (to and fro). it was a bit disappointing. i personally feel that all flights should offer a beverage of some sort. thank you.",90+,non-elite,ERJ-175,Express,member
1879,LGX,ORX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,there was no snack like a bag of pretzels or the like.,80+,non-elite,A320-200,Mainline,member
1233,EWX,ORX,2022-09-19,Delayed,Early & Ontime,Domestic,yes.,80+,non-elite,B737-900,Mainline,member
6043,LGX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,i did not partake of the beverage & food service on this flight because of the flight's short duration. this form would have been better designed if the first question had a “not applicable” option so i could skip all the rest of this nonsense.,90+,premier gold,ERJ-175,Express,member
6110,LGX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,if pretzels get any smaller we will need a magnifying glass to find them. also on a 3.5 hour flight a full can of soda is not unreasonable to expect.,90+,premier platinum,ERJ-175,Express,member
429,MEX,IAX,2022-09-20,Early & Ontime,Delayed,Latin,would have been nicer to have local beverages.,70+,non-member,A320-200,Mainline,non-member
429,MEX,IAX,2022-09-20,Early & Ontime,Delayed,Latin,ice for drinks.,70+,non-member,A320-200,Mainline,non-member
1426,MKX,DEX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,non-elite,B737-800,Mainline,member
28,DEX,LHX,2022-09-19,Delayed,Delayed,Atlantic,the roll was too dry.,90+,non-member,B787-9,Mainline,non-member
1259,DEX,ONX,2022-09-19,Early & Ontime,Delayed,Domestic,no_comment,90+,non-member,B737-900,Mainline,non-member
1870,SFX,IAX,2022-09-19,Early & Ontime,Delayed,Domestic,more choices of hot food would be better.,90+,premier 1k,B777-300,Mainline,member
1870,SFX,IAX,2022-09-19,Early & Ontime,Delayed,Domestic,a continental breakfast usually has a muffin or croissant. this continental only had fruit and yoghurt. pretty sketchy for a continental. not the full meal. other meals were not appetizing to me. tried eggs/potatoes on flight iad to sfo. not appetizing. glad club food has improved. saved the day.,90+,premier platinum,B777-300,Mainline,member
3523,PWX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,light snacks would have been ideal.,80+,non-elite,ERJ-170,Express,member
1770,RDX,SFX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,please serve the tea hot !. not lukewarm.,90+,non-elite,B737-800,Mainline,member
54,ZRX,IAX,2022-09-19,Early & Ontime,Early & Ontime,Atlantic,can you serve green tea also instead of just black tea?. otherwise the food was good for both the meal and the warm cheese snack. it was good.,90+,non-elite,B767-300,Mainline,member
189,EWX,JNX,2022-09-19,Delayed,Delayed,Atlantic,please offer a fish option.,70+,non-elite,B787-9,Mainline,member
189,EWX,JNX,2022-09-19,Delayed,Delayed,Atlantic,"as discussed previously on this feedback. jhb-newark. newark-london(my daughter). the only option was curry. we personally do not eat curry and would prefer a simple meal of chicken,vegetables and rice.",70+,non-member,B787-9,Mainline,non-member
730,SFX,ORX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,more of a snack maybe 2 when covid bags were handed out with snack and water very nice!.,90+,non-member,B737-900,Mainline,non-member
794,RNX,DEX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,we were not offered a snack only a beverage. i would like to know what the criteria is for offering a snack.,90+,non-elite,B737-800,Mainline,member
1772,SEX,ORX,2022-09-21,Early & Ontime,Delayed,Domestic,coffee was terrific.,90+,non-elite,B737-900,Mainline,member
1100,SJX,IAX,2022-09-19,Early & Ontime,Early & Ontime,Latin,the chicken and spinach dish in business class was terrible.,90+,non-elite,B737-800,Mainline,member
5422,ORX,LIX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,no snacks.,70+,non-elite,CRJ-200,Express,member
2681,IAX,JAX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,"flying 1st clas, i was ""hoping"" a better selections of snacks or even food (sandwich?). being offered, but none at all!.",70+,non-elite,A319-100,Mainline,member
2012,DEX,CLX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,pretty typical across airlines.,90+,non-elite,B737-800,Mainline,member
3422,CLX,EWX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,no beverage service.,90+,premier gold,ERJ-175,Express,member
3653,EWX,PWX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,there was no ice on the flight.,90+,premier gold,ERJ-175,Express,member
1059,CUX,IAX,2022-09-22,Early & Ontime,Early & Ontime,Latin,"the food was delicious!. my husband and i actually finished our food for the first time on united. (we flown four round trip first class to narita via houston, lax and sfo thus far this year and did not like our food on the international flights to asia). as a matter of fact, we purchased our own food prior to boarding our nrt flight on the last two trip. we will be going from iah to nrt again on oct. 4th and will purchase food @ local restaurants to bring on board for our international flight from iah to nrt even though we are in business class. (international food service on eva and singapore airlines are excellent as compared to united). with those two airlines, we know we will be able to eat their food and will not need to bring our own). eva air actually have hamburgers with fries as a snack item in business class.",70+,premier 1k,B737-900,Mainline,member
2213,IAX,SEX,2022-09-22,Early & Ontime,Delayed,Domestic,soda (coke) was flat.,80+,premier silver,B737-900,Mainline,member
356,BTX,ORX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,i wondered why the airline was no longer providing complimentary snacks. its a silly little extra but for the price of an airline ticket it somehow made it seem like a nice perk.,90+,non-member,A319-100,Mainline,non-member
1802,DEX,LAX,2022-09-22,Early & Ontime,Early & Ontime,Domestic,i appreciate that you still offer free water and snacks.,90+,non-member,B737-800,Mainline,non-member
2381,ORX,DEX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,non-elite,B737-900,Mainline,member
195,SFX,MUX,2022-09-22,Delayed,Delayed,Atlantic,for snacks there was only the option of a turkey cheese sandwich. no vegetarian option was provided.,90+,non-member,B777-300,Mainline,non-member
1573,DEX,EWX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,chicken pieces included gristle.,90+,premier silver,B787-9,Mainline,member
1573,DEX,EWX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,"i really liked the hot chocolate chip mini muffin for dessert. i asked my flight attendant if i could have another one of those. she said, ""let me see what i can do"" to my surprise. she came back with a freshly heated mini chocolate chip muffin. i loved the service of my flight attendant.",90+,premier silver,B787-9,Mainline,member
1573,DEX,EWX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,i did not take any of the snacks .,90+,non-elite,B787-9,Mainline,member
2491,MSX,DEX,2022-09-23,Early & Ontime,Delayed,Domestic,you should offer dr. pepper diet/zero and mt dew diet/zero.,90+,non-elite,B737-800,Mainline,member
60,FRX,SFX,2022-09-23,Early & Ontime,Delayed,Atlantic,the vegetarian couscous dish was good prior to arrival. i think that the presentation and side dishes as well as in-flight snacks should be a bit better quality to compete with other airlines.,90+,premier 1k,B777-300,Mainline,member
438,PDX,SFX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,would have appreciated a snack. luckily i had “emergency cookies” with me.,90+,non-member,B737-MAX9,Mainline,non-member
1690,TPX,DEX,2022-09-23,Early & Ontime,Delayed,Domestic,"the complimentary snacks were slightly for substantial. the beer selection was of fresh, local offerings.",90+,non-elite,B737-900,Mainline,member
1016,CUX,IAX,2022-09-16,Early & Ontime,Early & Ontime,Latin,was not asked for my meal preferences in advance on this flight as i was the flight going over. inconsistent w processes leaving and returning to iah.,90+,premier silver,B737-900,Mainline,member
2150,MSX,DEX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,it would be nice to have regular service but maybe flight time too short?. maybe pretzels or cookies too ?.,90+,non-elite,A320-200,Mainline,member
781,IAX,LAX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,"attendant missed our row for the second round of drinks and being is so close to landing, i did not bother to make a big deal out of it. just not feeling good when we were skipped.",90+,premier gold,B737-900,Mainline,member
526,IAX,AMX,2022-09-22,Delayed,Delayed,Atlantic,no_comment,0 to 70,non-member,B787-8,Mainline,non-member
526,IAX,AMX,2022-09-22,Delayed,Delayed,Atlantic,i liked the direct flight from iad to amm.,0 to 70,non-elite,B787-8,Mainline,member
946,FRX,ORX,2022-09-23,Early & Ontime,Delayed,Atlantic,the food was better chicago to frankfurt.,70+,non-elite,B787-10,Mainline,member
6159,TAX,IAX,2022-09-23,Early & Ontime,Early & Ontime,Latin,todo bien.,0 to 70,non-elite,ERJ-175,Express,member
3,SIX,SFX,2022-09-24,Delayed,Early & Ontime,Pacific,"i was in business class. food was fine, but not nearly as good as in business class on singapore air.",90+,premier gold,B787-9,Mainline,member
665,LAX,ORX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,the yogurt and fruit with the waffle breakfast is a nice touch.,90+,premier 1k,B737-900,Mainline,member
1785,STX,EWX,2022-09-24,Early & Ontime,Early & Ontime,Latin,"most people who did not pre order, did not have food they wanted. some had to settle for a snack box.",0 to 70,non-elite,B737-700,Mainline,member
1905,ORX,EWX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,"i remain disappointed that united does not offer economy passengers a free snack as american, southwest, and delta do.",90+,premier silver,B737-900,Mainline,member
886,FCX,IAX,2022-09-24,Early & Ontime,Early & Ontime,Atlantic,the white wine offered was not tasty. something was off in its taste. the pretzel sandwich that was offered prior to landing was high in calories/greasy/ and no other option was available nor offered.,90+,non-elite,B787-8,Mainline,member
886,FCX,IAX,2022-09-24,Early & Ontime,Early & Ontime,Atlantic,bring sprite zero or no sugar sprite back. it is good as a mixer and also has no caffeine.,90+,premier platinum,B787-8,Mainline,member
958,GVX,EWX,2022-09-24,Early & Ontime,Delayed,Atlantic,it was served efficiently. cabin crew attended very quickly to any requests i made.,90+,premier silver,B767-300,Mainline,member
990,IAX,FRX,2022-09-24,Delayed,Delayed,Atlantic,"before arrival there was a snack/breakfast cold, would be better to have a hot sandwich or egg.",90+,non-elite,B777-300,Mainline,member
942,LHX,EWX,2022-09-24,Early & Ontime,Early & Ontime,Atlantic,it was great - flavorful and what i expected.,0 to 70,non-elite,B767-300,Mainline,member
1951,KOX,SFX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,i liked the old days when there was some food served even in the cheap seats. on the dinner flight from kona to sf there was nothing even to buy except a snack box.,80+,non-elite,B737-900,Mainline,member
1951,KOX,SFX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,chicken katsu served cold. unappetizing. wish there were mai tai options to from hawaii. way behind the service levels (food quality) of hawaiian and alaska airlines.,80+,non-member,B737-900,Mainline,non-member
908,ORX,FRX,2022-09-24,Early & Ontime,Early & Ontime,Atlantic,temperature of hot food was fine. temperature of roll and butter was too cold. food was better with other airlines we know.,90+,non-member,B787-10,Mainline,non-member
2108,LAX,ORX,2022-09-24,Early & Ontime,Delayed,Domestic,"small portion for a long flight. would like to at least get two items instead of only one. for example, pretzels and cookie.",70+,non-elite,B737-800,Mainline,member
1506,BZX,DEX,2022-09-24,Early & Ontime,Delayed,Domestic,it was a short flight so only quick beverages were served and no snacks.,90+,non-member,B737-900,Mainline,non-member
1822,ORX,DEX,2022-09-25,Early & Ontime,Delayed,Domestic,drinks had no ice and tasted bad. never got out cookie that we always get.,90+,non-elite,B777-200,Mainline,member
2274,DEX,BWX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,the item selection was good in the box. some the packaging was difficult to open.,90+,premier silver,B737-800,Mainline,member
639,MCX,ORX,2022-09-25,Delayed,Delayed,Domestic,on flights where you sell fresh food please include the cheese tray on morning flights!.,90+,non-elite,B757-300,Mainline,member
196,MUX,SFX,2022-09-25,Early & Ontime,Delayed,Atlantic,"meal, snacks and dessert options need a refresh. they are rather basic and unappealing. food offered in the polaris lounge is ahead of the rest, but onboard food is quite the opposite of that experience.",90+,non-elite,B777-300,Mainline,member
196,MUX,SFX,2022-09-25,Early & Ontime,Delayed,Atlantic,no_comment,90+,non-member,B777-300,Mainline,non-member
1677,TPX,EWX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,as a 1k customer the service has really declined. i think this needs to change for your loyal customers.,90+,non-member,B737-900,Mainline,non-member
5870,SFX,PSX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,loved having a vegan meal option from honolulu to san francisco <😋>.,0 to 70,premier silver,CRJ-700,Express,member
757,DEX,JAX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,should offer more water on planes.,0 to 70,non-elite,A320-200,Mainline,member
1007,DEX,SEX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,"i wish there were more food options besides just the snack boxes. if there had been some real food options, such as a sandwich or salad, i would have been more inclined to purchase a food item.",90+,non-elite,B737-MAX9,Mainline,member
1194,IAX,IAX,2022-09-26,Delayed,Delayed,Domestic,wonderful.,90+,non-elite,B767-400,Mainline,member
289,AUX,ORX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,no tito's vodka. tito's is the best.,90+,non-member,A320-200,Mainline,non-member
502,MCX,EWX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,free messaging has been a no go the last two flights just wondering if it is just me.,90+,non-elite,B737-800,Mainline,member
1870,SFX,IAX,2022-09-26,Delayed,Delayed,Domestic,offer more food options even to pay for it.,90+,non-member,B777-300,Mainline,non-member
662,EWX,TPX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,it is fortunate that you get to your destination safely but it is all about cutting out small things to save money.,0 to 70,non-elite,B737-900,Mainline,member
2096,ORX,LAX,2022-09-25,Delayed,Delayed,Domestic,"you serve bailey's. delta stopped serving bailey's. great meal but no snacks in between (ie, chips, cookies.... unless i was asleep and missed them).",90+,non-elite,B787-10,Mainline,member
819,EZX,IAX,2022-09-26,Early & Ontime,Early & Ontime,Latin,small portions and not enough food for dinner and breakfast.,90+,non-elite,B777-200,Mainline,member
2653,SFX,BOX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,there were very limited food options available on board -.,90+,premier platinum,B737-MAX9,Mainline,member
1631,SEX,DEX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,it was great to have a snack from seattle to denver. there was not a snack offered going from denver to seattle.,90+,premier silver,B737-MAX9,Mainline,member
991,SFX,CDX,2022-09-24,Delayed,Delayed,Atlantic,no_comment,90+,non-member,B777-200,Mainline,non-member
6026,IAX,RIX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,"we had cheese, fruit and an ipa beer all served at a good temperature and with clean utensils/glasswear.",90+,non-elite,ERJ-175,Express,member
404,DEX,LAX,2022-09-26,Early & Ontime,Delayed,Domestic,need to have more choices. i did receive an email about pre-ordering but i defiantly did not like those choices so i took a chance that there was something different. i took the one i would thought i like. it was so so.,90+,non-member,B757-300,Mainline,non-member
2163,MCX,EWX,2022-09-27,Delayed,Delayed,Domestic,"all your representatives were very polite and pleasant, with the exception of one server who blatantly ignored me when asking all others of their choices. i say blatant as there is no way he could have thought he did as he did not address me at all. when i said hello to get his attention he ignored me, and when i touched his arm he looked around at me and i had to tell him without his asking me, what i would like. he did not apologize, he just handed it to me and moved on. i am a black woman. he was white. that left a bad taste in my mouth as, not only is it wrong..... i have never in my 60yrs encountered such a behavior. sorry my 1st experience was on your airline. flight 2162 from orlando to ewr 5:pm.",90+,non-member,B737-MAX8,Mainline,non-member
1846,DEX,PHX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,would be nice if they gave you a mini bag of pretzels to go w/ the free bevy.,90+,non-member,B737-800,Mainline,non-member
970,AMX,SFX,2022-09-27,Delayed,Delayed,Atlantic,"not really, i am a poor eater.",70+,non-member,B787-9,Mainline,non-member
5250,DEX,OMX,2022-09-27,Delayed,Early & Ontime,Domestic,no_comment,90+,non-member,ERJ-175,Express,non-member
2627,SFX,IAX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,the food selections were the same on this flight as i had had on the flight the week before. the little hot chocolate chip cookie was amazing.,80+,non-elite,B737-MAX9,Mainline,member
871,SYX,SFX,2022-09-28,Delayed,Delayed,Pacific,overall edible.,90+,non-elite,B777-300,Mainline,member
871,SYX,SFX,2022-09-28,Delayed,Delayed,Pacific,i enjoyed the food very much. well done.,90+,non-elite,B777-300,Mainline,member
1104,DEX,BOX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,either offer meals on every long flight ahead of time. take the waffle offering off the list.,90+,non-elite,B737-900,Mainline,member
1502,IAX,LGX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,going back to give sandwiches will be better.,80+,non-member,B737-800,Mainline,non-member
683,EWX,SFX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,it would be nice to have a gluten free snack choice that is complimentary.,80+,non-member,B777-300,Mainline,non-member
2217,ORX,EWX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,overall there is less and less of snack offered these days.,90+,premier silver,B737-900,Mainline,member
2228,LAX,DEX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,glad to see united chefs using various spices in their dinners.,80+,non-elite,A320-200,Mainline,member
3534,GSX,EWX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,"even though it was a short flight. no snack was offered in first class. i asked for pretzels. 1 tiny bag was provided. very happy with the buffalo trace bourbon, but no tequila available.",0 to 70,premier silver,ERJ-175,Express,member
464,PUX,EWX,2022-09-29,Delayed,Delayed,Latin,allow more options for allergy sensitive people.,90+,non-elite,B737-900,Mainline,member
149,GRX,EWX,2022-09-29,Early & Ontime,Delayed,Latin,the breakfast was not ok.,90+,non-member,B777-200,Mainline,non-member
149,GRX,EWX,2022-09-29,Early & Ontime,Delayed,Latin,no guarana was offered!.,90+,non-elite,B777-200,Mainline,member
964,BEX,EWX,2022-09-29,Early & Ontime,Delayed,Atlantic,"all is good , just focus on technological progress and research !. water is just fine !.",90+,non-member,B767-400,Mainline,non-member
4361,LIX,IAX,2022-09-27,Early & Ontime,Delayed,Domestic,i could not purchase food with cash or card which was inconvenient since i did not have the app and did not know how to get it!.,90+,non-member,ERJ-145,Express,non-member
1927,DEX,ABX,2022-09-29,Delayed,Delayed,Domestic,was in first class did not get a drink prior to takeoff and only one drink during the flight while other passengers got refills.,90+,non-elite,B737-MAX9,Mainline,member
730,SFX,ORX,2022-09-29,Delayed,Delayed,Domestic,as a 1k was not able to get the meal i wanted they ran out.,90+,premier 1k,B737-800,Mainline,member
1061,IAX,MEX,2022-09-29,Early & Ontime,Early & Ontime,Latin,no_comment,90+,non-elite,A319-100,Mainline,member
1000,EWX,BRX,2022-09-29,Delayed,Delayed,Atlantic,we asked a sorbet but it had already been defrosted and frozen again. …not very safe!.,90+,premier platinum,B777-300,Mainline,member
1000,EWX,BRX,2022-09-29,Delayed,Delayed,Atlantic,no_comment,90+,non-elite,B777-300,Mainline,member
689,BNX,IAX,2022-09-29,Early & Ontime,Early & Ontime,Domestic,other people seemed to enjoy the beverages.,90+,non-member,A319-100,Mainline,non-member
3465,BUX,EWX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,non-elite,ERJ-170,Express,member
2,SFX,SIX,2022-09-30,Early & Ontime,Delayed,Pacific,aeroplane food sucks. but i am not sure how to fix it [food]. i suspect you are doing your best.,90+,non-member,B787-9,Mainline,non-member
275,IAX,RDX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,"there is inconsistency in first class service. sometimes we are offered a pre-take off cocktail, other times a choice of two drinks (like water or mimosa for example), and other times, only water. in my opinion, there should always be a pre-takeoff cocktail because the boarding process takes a long time. we have paid for premium service.",90+,non-elite,A319-100,Mainline,member
1103,CMX,SFX,2022-09-30,Early & Ontime,Delayed,Domestic,i would like hot food options for purchase.,90+,premier silver,B737-800,Mainline,member
2006,DFX,SFX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,the chicken and impossible meat balls get old when you are a frequent flier. most crews do not offer a box. rarely an attendant with all but the entree— i think that is great!.,90+,premier 1k,A319-100,Mainline,member
5998,PSX,SFX,2022-09-30,Delayed,Delayed,Domestic,"this flight is so short, i have to wonder why it is necessary to have a food service. i would be fine with no food service on short flights that are small. just my take.",90+,non-elite,CRJ-700,Express,member
5865,SMX,LAX,2022-09-30,Early & Ontime,Delayed,Domestic,love mr & mrs t's bloody mary mix.,90+,premier 1k,ERJ-175,Express,member
1066,EWX,MEX,2022-09-30,Delayed,Delayed,Latin,"increase the snack variety, like peanut or almonds. include beer and wine as complementary options.",90+,premier silver,B737-700,Mainline,member
5223,IAX,TUX,2022-09-29,Early & Ontime,Early & Ontime,Domestic,"need something to snack on, for some reason we did not get this.",90+,non-member,CRJ-200,Express,non-member
2636,SAX,DEX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,great.,90+,non-elite,A320-200,Mainline,member
2465,IAX,JAX,2022-09-01,Delayed,Delayed,Domestic,it is nice when they give you a small snack. not both flights gave a snack.,90+,non-member,A319-100,Mainline,non-member
4438,ALX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,good del toon from ewr to cancun was not very good.,90+,premier 1k,CRJ-550,Express,member
108,MUX,IAX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,the food was fine but not particularly good. the sandwich served before landing was not at all appealing - again expect a little more on a 9 hour flight. however the flight attendants were great about coming around with water - they did not do that on my outbound flight.,80+,non-elite,B777-200,Mainline,member
108,MUX,IAX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,more selection.,80+,non-elite,B777-200,Mainline,member
3911,LEX,ORX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,it was a 4 1/2 hour flight. we were offered no snack.,80+,non-elite,CRJ-200,Express,member
1008,ORX,ORX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,tiny snack would be appreciated.,90+,non-member,A319-100,Mainline,non-member
126,ATX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,disappointed with food offerings.,90+,premier gold,B787-10,Mainline,member
940,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,i thought the food was not the best. my hamburger bun was very hard. probably over heated. on my flight to greece your food was excellent.,70+,premier gold,B787-9,Mainline,member
940,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,the food was surprisingly good.,70+,premier silver,B787-9,Mainline,member
1780,EWX,RSX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,i wished you provided the same offer to order in advance on my return trip to newark.,90+,non-member,B737-MAX8,Mainline,non-member
2275,EWX,RSX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,"for the first time in a very long time i had a meal as they have been inedible over the last several years. the scrambled eggs were delicious. although it was not available on this flight, i love the idea of pre-ordering the meal.",90+,premier gold,B737-MAX8,Mainline,member
2412,MSX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,want cheese & crackers & protein for snacks.,0 to 70,non-elite,B737-800,Mainline,member
981,ORX,DUX,2022-09-02,Early & Ontime,Early & Ontime,Atlantic,give a snack dessert thing first ( 9:30 at night). and give a better breakfast in am.,90+,non-elite,B757-200,Mainline,member
2061,IAX,BOX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,"would have preferred small bottle of water to glass, because timing is easier. personally hate stroopwaffles. pretzels are fine.",90+,premier 1k,B737-900,Mainline,member
2629,ORX,CHX,2022-09-01,Delayed,Delayed,Domestic,no snack was provided.,90+,non-member,A319-100,Mainline,non-member
1155,IAX,CUX,2022-09-02,Early & Ontime,Early & Ontime,Latin,no_comment,90+,non-elite,B737-900,Mainline,member
931,SFX,LHX,2022-09-02,Delayed,Delayed,Atlantic,it really would be great if you went back to the pre-covid separation of courses. i am consistently finding that the entree is cold by the time i am done eating my appetizer.,90+,premier 1k,B787-9,Mainline,member
2361,GTX,DEX,2022-09-02,Delayed,Delayed,Domestic,"first leg of flight did not even offer pretzels or peanuts. second leg did not offer sugar free, caffeine free soda or gluten free snack.",80+,non-elite,A320-200,Mainline,member
1421,FLX,IAX,2022-09-03,Delayed,Delayed,Domestic,first i was happy to get a meal. thank you. all in all the food was good. my only concern was the chicken was somewhat dry and tasteless. thought you would want to know. other than that it was very good. thank you for the wonderful service!!!.,70+,premier platinum,B737-900,Mainline,member
972,FCX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,chicken curry was so good.,80+,non-elite,B787-8,Mainline,member
972,FCX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,no_comment,80+,non-member,B787-8,Mainline,non-member
951,IAX,BRX,2022-09-03,Delayed,Delayed,Atlantic,"i am not a strict vegetarian, but i no longer ask for vegetarian meals because united lazily serves a very disappointing, bland and stale vegan meal instead. clearly the difference between vegetarian and vegan is not yet understood. i miss out on the delicious ice cream whenever i order vegetarian. also, i tried to reserve a vegetarian meal for my girlfriend (who is a strict vegetarian) but it kept glitching and no matter how many times i tried, it refused to save the request for this past flight.",90+,premier silver,B777-300,Mainline,member
955,SFX,TLX,2022-09-03,Early & Ontime,Delayed,Atlantic,more selection please….,80+,non-elite,B777-200,Mainline,member
955,SFX,TLX,2022-09-03,Early & Ontime,Delayed,Atlantic,i wish that there were a prompt for a vegan option upon ordering the ticket. i have went through my first flight without food since i did not know i should ask for a vegan option in advance.,80+,non-member,B777-200,Mainline,non-member
1057,CUX,IAX,2022-09-03,Delayed,Delayed,Latin,everything is excelent.,90+,non-elite,B737-900,Mainline,member
2198,PHX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,i have not flown united in a while and was pleased that an ipa was available on board. it is my favorite style.,70+,non-elite,A319-100,Mainline,member
3493,EWX,CLX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,global services,ERJ-170,Express,member
1868,CZX,IAX,2022-09-03,Delayed,Early & Ontime,Latin,more variety would help a whole lot.,0 to 70,premier silver,B737-800,Mainline,member
1840,DEX,MSX,2022-09-02,Delayed,Early & Ontime,Domestic,it would be nice to have nuts for a snack —something healthy.,90+,non-elite,A320-200,Mainline,member
463,IAX,PDX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,my grandson and i both loved the burger and the salad selection on the menu. we ordered seconds since we shared. very tasty.,80+,non-elite,A320-200,Mainline,member
463,IAX,PDX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,nasty tasting wine. very bitter.,80+,non-member,A320-200,Mainline,non-member
1905,EWX,SFX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,"ran out of the non-vegetarian option, was quite disappointed.",70+,premier 1k,B777-200,Mainline,member
2485,LGX,IAX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,i would like to see more choices regarding snacks for purchase.,90+,non-elite,A320-200,Mainline,member
2602,DEX,RSX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,premier platinum,B737-800,Mainline,member
2335,PHX,ORX,2022-09-03,Delayed,Delayed,Domestic,more food.,0 to 70,non-elite,B737-900,Mainline,member
2335,PHX,ORX,2022-09-03,Delayed,Delayed,Domestic,very satisfying.,0 to 70,premier silver,B737-900,Mainline,member
987,CDX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,i was pleased with the pasta offering.,90+,non-elite,B787-8,Mainline,member
